[[-0.56364851  0.58706515 -0.70060622]],0.66
[[-0.38836405  0.72322056 -0.68047084]],0.81
[[-0.15158603 -1.20470206 -0.43932149]],0.34
[[ 0.81260121  0.3704293  -0.62681661]],0.57
[[-0.0288632   1.48648131 -0.04728741]],0.11
[[-1.3249091  -0.59571867 -0.1563113 ]],0.39
[[ 0.55383257 -1.25925545 -0.26652023]],0.34
[[-0.97578949 -0.47230271 -0.5335026 ]],0.15
[[ 1.43827372 -0.33129547 -0.12460909]],0.21
[[ 0.95030894 -1.02448194 -0.12063442]],0.08
[[-0.01024774 -0.78826529 -0.69911685]],0.9
[[-0.55066825 -0.86783967 -0.52346559]],0.28
[[ 0.548081    0.52255029 -0.73555733]],0.83
[[ 0.19143769 -1.1483973  -0.48339287]],0.34
[[-0.9373265   1.0414486  -0.16216775]],0.05
[[ 0.65860105 -1.16197019 -0.28777964]],0.37
[[-0.30554662 -1.12807383 -0.46967904]],0.36
[[-1.28048153  0.41194009 -0.32227725]],0.23
[[-0.20277493  0.52069512 -0.78629951]],0.99
[[-0.83119499 -0.49544955 -0.60415268]],0.36
[[-0.16296855 -0.91394339 -0.6073269 ]],0.31
[[ 0.21545655 -1.35885079 -0.28334276]],0.37
[[ 1.46780909  0.32679445 -0.01262284]],0.33
[[ 0.57058405 -0.3592578  -0.7709098 ]],1.05
[[ 0.78870408 -0.51188662 -0.62427816]],0.37
[[ 0.24735052  0.50766516 -0.80458586]],0.98
[[ 0.5312196   1.36280586 -0.06129911]],0.33
[[-1.21216432 -0.63641989 -0.17012196]],0.34
[[-0.54743414  0.83198413 -0.59756309]],0.38
[[ 1.18921736 -0.79532037 -0.03240189]],0.39
[[-0.15965801  1.36123302 -0.27785896]],0.4
[[-0.94719147  0.91137844 -0.28464495]],0.04
[[-0.72810012  1.23510737 -0.1586021 ]],0.34
[[-0.96131091  0.91822309 -0.23839175]],0.03
[[ 0.67094359  0.63653771 -0.63220562]],0.38
[[-0.78967076  0.86334643 -0.42438417]],0.07
[[-0.2182824   1.29316649 -0.28803978]],0.54
[[ 1.25970365  0.1381624  -0.38766808]],0.31
[[-0.78435302  0.27325035 -0.66337858]],0.77
[[ 0.88053312  0.1964286  -0.61838711]],0.28
[[-0.26044969  1.10024424 -0.4662397 ]],0.14
[[ 0.2968661  -0.92267079 -0.62704544]],0.3
[[-0.80356143  0.22131461 -0.66728078]],0.88
[[-0.25121915  1.38267102 -0.24523429]],0.45
[[ 1.1338721   0.50033357 -0.42028307]],0.26
[[-0.79291232  0.91332499 -0.44932976]],0.05
[[ 0.48299567  0.37566429 -0.7761937 ]],1.03
[[-1.29909413  0.47466364 -0.25102167]],0.42
[[ 0.95946364  0.10644044 -0.60355346]],0.1
[[-0.36392964  1.37389799 -0.02510005]],0.34
[[ 0.51999141 -1.3048223  -0.1467787 ]],0.28
[[-0.02625195 -1.22565659 -0.44055017]],0.44
[[-1.38325927 -0.00831675 -0.2858148 ]],0.31
[[-1.46443662 -0.11390742 -0.19834709]],0.19
[[ 1.1068218   0.33396318 -0.47124196]],0.29
[[-0.79773419 -0.56351299 -0.56489802]],0.29
[[-1.03613878 -0.97045577 -0.05236127]],0.12
[[-1.46372525 -0.20239299 -0.08868378]],0.13
[[-0.91402675 -0.24220177 -0.58257494]],0.24
[[ 0.33406485  1.44989514 -0.05182345]],0.29
[[ 0.37080586  1.148345   -0.45454533]],0.37
[[-1.29407475 -0.44131189 -0.30082731]],0.36
[[ 0.19151958 -0.18973891 -0.91500085]],0.41
