[[-1.13884013 -0.68313467 -0.32603144]],0.02
[[-0.04761954 -1.47666009 -0.14634952]],0.02
[[ 1.19815951  0.37079708 -0.30521503]],0.02
[[ 0.2334389   1.56899773 -0.07173255]],0.05
[[ 0.19336438  0.18638212 -0.91242992]],0.04
[[ 0.74110641  0.76234519 -0.50902052]],0.05
[[-0.40001206 -1.51296358 -0.23466612]],0.03
[[ 1.43608096 -0.34315367 -0.08441986]],0.0
[[-0.05361043  0.05905855 -0.98133874]],0.01
[[ 1.29104223 -0.36265044 -0.22863227]],0.06
[[ 0.67051135 -0.9213582  -0.5357979 ]],0.01
[[ 1.12768143 -0.43652875 -0.43036679]],0.05
[[-1.30130851 -0.87225875 -0.09638486]],0.02
[[-0.84998099  0.92658791 -0.42871583]],0.02
[[ 1.4852473   0.22187163 -0.02932851]],0.0
[[-1.34470088 -0.11661955 -0.18672875]],0.03
[[-0.73389305  0.52387435 -0.5808301 ]],0.01
[[-1.52781479 -0.07335818 -0.10503235]],0.0
[[ 0.14170574  1.40388961 -0.17029785]],0.03
[[ 1.29603677 -0.30281215 -0.35043941]],0.01
[[-1.34168318 -0.16174296 -0.32762424]],0.05
[[-0.64165444  0.72160646 -0.61284136]],0.05
[[-0.29776016 -0.11529864 -0.86720622]],0.06
[[ 0.87000509 -0.51751885 -0.55636115]],0.01
[[-0.90040271 -0.85746725 -0.53647567]],0.02
[[ 0.54151704  0.6604502  -0.68163948]],0.04
[[-1.37802964  0.53486579 -0.09125648]],0.01
[[ 0.61588498  1.22618965 -0.29846999]],0.05
[[-0.12451112  0.30965734 -0.88017235]],0.06
[[ 1.26136102  0.22054565 -0.34906467]],0.01
[[ 1.24162262  0.45512935 -0.32226498]],0.07
[[-0.3642892  0.6502113 -0.6579664]],0.09
[[-0.76151679  0.45687705 -0.6487745 ]],0.03
[[ 1.26708075 -0.71218772  0.11100854]],0.01
[[-0.21377615  0.30602926 -0.87985392]],0.05
[[-0.83628664  1.03335698 -0.36871791]],0.0
[[-1.01477728  0.78619801 -0.33642165]],0.03
[[-0.99206328  0.65961138 -0.40490305]],0.02
[[ 1.4394849  -0.49506362 -0.3535661 ]],0.02
